         Source name  Orientation      lcen     bcen    V_LSR    Distance  Length  Width  Velocity width       Mass   N(H2)_max   N(H2)_ave    Parameter p
                            (deg)     (deg)    (deg) (km s−1)       (kpc)    (pc)   (pc)        (km s−1)    (M_sun)      (cm-2)      (cm-2)

G145.000-0.525-25.38       -55.49   145.000   -0.525   -25.38   2.07±0.26    6.95   1.96            1.46     108.73    7.04e+21    7.36e+20          0.626
G116.100+4.692-10.86       -46.05   116.100    4.692   -10.86   0.74±0.08    1.04   0.31            1.25       0.74    2.26e+21    2.58e+20          0.547
G115.225+1.158-00.33       -21.28   115.225    1.158    -0.33   0.74±0.08    2.38   0.70            1.52       5.21    4.16e+21    5.62e+20          0.095
G126.800-5.033-10.69       -26.88   126.800   -5.033   -10.69   0.89±0.20    1.89   0.46            2.11       5.19    7.76e+21    9.03e+20          0.256
G116.067+4.933+04.68       -20.65   116.067    4.933     4.68   0.72±0.08    0.90   0.30            0.82       0.67    2.01e+21    4.01e+20          0.093
G105.767+2.750-15.36        44.40   105.767    2.750   -15.36   0.83±0.11    1.84   0.50            3.84       2.95    3.88e+21    5.69e+20          0.051
G135.142+2.092-07.01       -64.48   135.142    2.092    -7.01   0.51±0.16    0.66   0.21            0.92       0.23    2.16e+21    2.57e+20          0.454
G132.183+1.583-77.99       -80.56   132.183    1.583   -77.99   5.32±0.54   13.39   2.84            1.38     199.31    4.23e+21    5.20e+20          0.169
G105.425+1.183-57.28       -26.91   105.425    1.183   -57.28   2.93±0.26    5.51   1.58            2.97      45.35    8.14e+21    7.53e+20          0.428
G148.708+3.792+05.34       -57.22   148.708    3.792     5.34   0.25±0.03    0.74   0.19            0.69       0.27    1.50e+21    1.95e+20          0.255
G140.758+0.258-39.75       -30.73   140.758    0.258   -39.75   2.10±0.24    3.31   0.87            1.02       7.74    2.52e+21    3.17e+20          0.456
G129.875-0.200+01.84       -27.59   129.875   -0.200     1.84   0.23±0.02    0.47   0.13            0.91       0.12    1.59e+21    1.73e+20          0.508
G120.858-2.217-20.04       -48.42   120.858   -2.217   -20.04   2.31±0.95    6.86   1.71            1.65      88.88    8.80e+21    5.53e+20          0.646
G110.658-1.683-15.87        36.89   110.658   -1.683   -15.87   2.49±0.81    2.84   0.92            1.02       3.60    1.41e+21    1.97e+20          0.366
G117.383+0.242-01.84       -47.86   117.383    0.242    -1.84   0.72±0.09    1.07   0.34            0.69       0.69    1.56e+21    2.33e+20          0.047
G111.975+3.608-73.48       -34.30   111.975    3.608   -73.48   6.71±0.85   15.28   4.88            2.38     279.44    6.11e+21    6.08e+20          0.127
G131.542-2.642-16.37       -26.77   131.542   -2.642   -16.37   1.59±0.72    3.87   1.15            2.83      27.83    8.29e+21    7.42e+20          0.469
G110.225-3.300+04.34        21.64   110.225   -3.300     4.34   0.74±0.15    1.78   0.41            2.11       3.60    3.97e+21    5.37e+20          0.175
G144.383+0.125+00.67       -52.35   144.383    0.125     0.67   0.27±0.02    0.65   0.19            0.77       0.43    2.77e+21    3.33e+20          0.167
G144.992-0.792-36.57        50.49   144.992   -0.792   -36.57   2.05±0.21    4.54   1.37            1.78      27.23    5.64e+21    5.97e+20          0.074
G132.617-0.192-36.57        42.03   132.617   -0.192   -36.57   2.40±0.11    4.54   1.37            3.22      20.70    3.17e+21    5.46e+20          0.180
G137.583-1.967-05.68        63.52   137.583   -1.967    -5.68   0.47±0.18    0.49   0.17            0.67       0.16    1.29e+21    2.11e+20          0.493
G109.133-4.033-36.24        24.28   109.133   -4.033   -36.24   3.13±0.81    4.05   1.59            2.67      37.79    7.99e+21    8.83e+20          0.264
G122.467+0.575-42.25       -48.62   122.467    0.575   -42.25   2.51±0.30    4.01   1.25            1.63      31.21    1.13e+22    1.02e+21          0.985
G145.925-1.933-27.05        43.41   145.925   -1.933   -27.05   2.08±0.26   14.32   3.77            3.92     361.32    1.18e+22    7.66e+20          0.195
G105.125+2.242-18.87       -40.65   105.125    2.242   -18.87   2.50±0.71    5.10   1.44            1.51      33.42    5.44e+21    6.63e+20          0.256
